1,Bowery Estates,Montgomery,AL,36100,NULL,1/6/2008
3,Dogwood Drive,Sacramento,CA,94203,NULL,1/8/2008
5,Fir Street,Washington,DC,20510-0001,NULL,1/10/2008
7,The Highlands,Atlanta,GA,30026,NULL,1/12/2008
9,James Road,Springfield,IL,62700,NULL,1/14/2008
11,Larch Mont Road,Boston,MA,02138-7190,NULL,1/16/2008
13,New Pike Road,Trenton,NJ,8600,NULL,1/18/2008
15,Pine Place,Albany,NY,12200-2837,NULL,1/20/2008
17,Race Track Road,Harrisburg,PA,17100,NULL,1/22/2008
19,Tamarack Road,Salt Lake City,UT,84100,NULL,1/24/2008
21,Valley Road,Olympia,WA,98507,NULL,1/26/2008
23,Apple Lane,Juneau,AK,99801,NULL,1/28/2008
25,Cannery Row,Phoenix,AZ,85011,NULL,1/30/2008
27,Elm Street,Denver,CO,80201,NULL,2/1/2008
29,Goshen Road,Tallahassee,FL,32301,NULL,2/3/2008
31,Island Drive,Honolulu,HI,96800-3017,NULL,2/5/2008
33,King Street,Baton Rouge,LA,70800,NULL,2/7/2008
35,Maple Street,Annapolis,MD,21400,NULL,2/9/2008
37,Oak Drive,Carson City,NV,89701,NULL,2/11/2008
39,Queen Ann Drive,Salem,OR,97301,NULL,2/13/2008
41,Stoney Way,Austin,TX,73301,NULL,2/15/2008
43,University Lane,Richmond,VA,23173-1823,NULL,2/17/2008
45,Willow Road,Charleston,WV,25300,NULL,2/19/2008
47,Bowery Estates,Montgomery,AL,36100,NULL,2/21/2008
49,Dogwood Drive,Sacramento,CA,94203,NULL,2/23/2008
51,Fir Street,Washington,DC,20510-0001,NULL,2/25/2008
53,The Highlands,Atlanta,GA,30026,NULL,2/27/2008
55,James Road,Springfield,IL,62700,NULL,2/29/2008
57,Larch Mont Road,Boston,MA,02138-7190,NULL,3/2/2008
59,New Pike Road,Trenton,NJ,8600,NULL,3/4/2008
61,Pine Place,Albany,NY,12200-2837,NULL,3/6/2008
63,Race Track Road,Harrisburg,PA,17100,NULL,3/8/2008
65,Tamarack Road,Salt Lake City,UT,84100,NULL,3/10/2008
67,Valley Road,Olympia,WA,98507,NULL,3/12/2008
69,Apple Lane,Juneau,AK,99801,NULL,3/14/2008
71,Cannery Row,Phoenix,AZ,85011,NULL,3/16/2008
73,Elm Street,Denver,CO,80201,NULL,3/18/2008
75,Goshen Road,Tallahassee,FL,32301,NULL,3/20/2008
77,Island Drive,Honolulu,HI,96800-3017,NULL,3/22/2008
79,King Street,Baton Rouge,LA,70800,NULL,3/24/2008
81,Maple Street,Annapolis,MD,21400,NULL,3/26/2008
83,Oak Drive,Carson City,NV,89701,NULL,3/28/2008
85,Queen Ann Drive,Salem,OR,97301,NULL,3/30/2008
87,Stoney Way,Austin,TX,73301,NULL,4/1/2008
89,University Lane,Richmond,VA,23173-1823,NULL,4/3/2008
91,Willow Road,Charleston,WV,25300,NULL,4/5/2008
93,Bowery Estates,Montgomery,AL,36100,NULL,4/7/2008
95,Dogwood Drive,Sacramento,CA,94203,NULL,4/9/2008
97,Fir Street,Washington,DC,20510-0001,NULL,4/11/2008
99,The Highlands,Atlanta,GA,30026,NULL,4/13/2008
101,James Road,Springfield,IL,62700,NULL,4/15/2008
103,Larch Mont Road,Boston,MA,02138-7190,NULL,4/17/2008
105,New Pike Road,Trenton,NJ,8600,NULL,4/19/2008
107,Pine Place,Albany,NY,12200-2837,NULL,4/21/2008
109,Race Track Road,Harrisburg,PA,17100,NULL,4/23/2008
111,Tamarack Road,Salt Lake City,UT,84100,NULL,4/25/2008
113,Valley Road,Olympia,WA,98507,NULL,4/27/2008
115,Apple Lane,Juneau,AK,99801,NULL,4/29/2008
117,Cannery Row,Phoenix,AZ,85011,NULL,5/1/2008
119,Elm Street,Denver,CO,80201,NULL,5/3/2008
121,Goshen Road,Tallahassee,FL,32301,NULL,5/5/2008
123,Island Drive,Honolulu,HI,96800-3017,NULL,5/7/2008
125,King Street,Baton Rouge,LA,70800,NULL,5/9/2008
127,Maple Street,Annapolis,MD,21400,NULL,5/11/2008
129,Oak Drive,Carson City,NV,89701,NULL,5/13/2008
131,Queen Ann Drive,Salem,OR,97301,NULL,5/15/2008
133,Stoney Way,Austin,TX,73301,NULL,5/17/2008
135,University Lane,Richmond,VA,23173-1823,NULL,5/19/2008
137,Willow Road,Charleston,WV,25300,NULL,5/21/2008
139,Bowery Estates,Montgomery,AL,36100,NULL,5/23/2008
141,Dogwood Drive,Sacramento,CA,94203,NULL,5/25/2008
143,Fir Street,Washington,DC,20510-0001,NULL,5/27/2008
145,The Highlands,Atlanta,GA,30026,NULL,5/29/2008
147,James Road,Springfield,IL,62700,NULL,5/31/2008
149,Larch Mont Road,Boston,MA,02138-7190,NULL,6/2/2008
151,New Pike Road,Trenton,NJ,8600,NULL,6/4/2008
153,Pine Place,Albany,NY,12200-2837,NULL,6/6/2008
155,Race Track Road,Harrisburg,PA,17100,NULL,6/8/2008
157,Tamarack Road,Salt Lake City,UT,84100,NULL,6/10/2008
159,Valley Road,Olympia,WA,98507,NULL,6/12/2008
161,Apple Lane,Juneau,AK,99801,NULL,6/14/2008
163,Cannery Row,Phoenix,AZ,85011,NULL,6/16/2008
165,Elm Street,Denver,CO,80201,NULL,6/18/2008
167,Goshen Road,Tallahassee,FL,32301,NULL,6/20/2008
169,Island Drive,Honolulu,HI,96800-3017,NULL,6/22/2008
171,King Street,Baton Rouge,LA,70800,NULL,6/24/2008
173,Maple Street,Annapolis,MD,21400,NULL,6/26/2008
175,Oak Drive,Carson City,NV,89701,NULL,6/28/2008
177,Queen Ann Drive,Salem,OR,97301,NULL,6/30/2008
179,Stoney Way,Austin,TX,73301,NULL,7/2/2008
181,University Lane,Richmond,VA,23173-1823,NULL,7/4/2008
183,Willow Road,Charleston,WV,25300,NULL,7/6/2008
185,Bowery Estates,Montgomery,AL,36100,NULL,7/8/2008
187,Dogwood Drive,Sacramento,CA,94203,NULL,7/10/2008
189,Fir Street,Washington,DC,20510-0001,NULL,7/12/2008
191,The Highlands,Atlanta,GA,30026,NULL,7/14/2008
193,James Road,Springfield,IL,62700,NULL,7/16/2008
195,Larch Mont Road,Boston,MA,02138-7190,NULL,7/18/2008
197,New Pike Road,Trenton,NJ,8600,NULL,7/20/2008
199,Pine Place,Albany,NY,12200-2837,NULL,7/22/2008
201,Race Track Road,Harrisburg,PA,17100,NULL,7/24/2008
203,Tamarack Road,Salt Lake City,UT,84100,NULL,7/26/2008
205,Valley Road,Olympia,WA,98507,NULL,7/28/2008
207,Apple Lane,Juneau,AK,99801,NULL,7/30/2008
209,Cannery Row,Phoenix,AZ,85011,NULL,8/1/2008
211,Elm Street,Denver,CO,80201,NULL,8/3/2008
213,Goshen Road,Tallahassee,FL,32301,NULL,8/5/2008
215,Island Drive,Honolulu,HI,96800-3017,NULL,8/7/2008
217,King Street,Baton Rouge,LA,70800,NULL,8/9/2008
219,Maple Street,Annapolis,MD,21400,NULL,8/11/2008
221,Oak Drive,Carson City,NV,89701,NULL,8/13/2008
223,Queen Ann Drive,Salem,OR,97301,NULL,8/15/2008
225,Stoney Way,Austin,TX,73301,NULL,8/17/2008
227,University Lane,Richmond,VA,23173-1823,NULL,8/19/2008
229,Willow Road,Charleston,WV,25300,NULL,8/21/2008
231,Bowery Estates,Montgomery,AL,36100,NULL,8/23/2008
233,Dogwood Drive,Sacramento,CA,94203,NULL,8/25/2008
235,Fir Street,Washington,DC,20510-0001,NULL,8/27/2008
237,The Highlands,Atlanta,GA,30026,NULL,8/29/2008
239,James Road,Springfield,IL,62700,NULL,8/31/2008
241,Larch Mont Road,Boston,MA,02138-7190,NULL,9/2/2008
243,New Pike Road,Trenton,NJ,8600,NULL,9/4/2008
245,Pine Place,Albany,NY,12200-2837,NULL,9/6/2008
247,Race Track Road,Harrisburg,PA,17100,NULL,9/8/2008
249,Tamarack Road,Salt Lake City,UT,84100,NULL,9/10/2008
251,Valley Road,Olympia,WA,98507,NULL,9/12/2008
253,Apple Lane,Juneau,AK,99801,NULL,9/14/2008
255,Cannery Row,Phoenix,AZ,85011,NULL,9/16/2008
257,Elm Street,Denver,CO,80201,NULL,9/18/2008
259,Goshen Road,Tallahassee,FL,32301,NULL,9/20/2008
261,Island Drive,Honolulu,HI,96800-3017,NULL,9/22/2008
263,King Street,Baton Rouge,LA,70800,NULL,9/24/2008
265,Maple Street,Annapolis,MD,21400,NULL,9/26/2008
267,Oak Drive,Carson City,NV,89701,NULL,9/28/2008
269,Queen Ann Drive,Salem,OR,97301,NULL,9/30/2008
271,Stoney Way,Austin,TX,73301,NULL,10/2/2008
273,University Lane,Richmond,VA,23173-1823,NULL,10/4/2008
275,Willow Road,Charleston,WV,25300,NULL,10/6/2008
277,Bowery Estates,Montgomery,AL,36100,NULL,10/8/2008
279,Dogwood Drive,Sacramento,CA,94203,NULL,10/10/2008
281,Fir Street,Washington,DC,20510-0001,NULL,10/12/2008
283,The Highlands,Atlanta,GA,30026,NULL,10/14/2008
285,James Road,Springfield,IL,62700,NULL,10/16/2008
287,Larch Mont Road,Boston,MA,02138-7190,NULL,10/18/2008
289,New Pike Road,Trenton,NJ,8600,NULL,10/20/2008
291,Pine Place,Albany,NY,12200-2837,NULL,10/22/2008
